"id","name","created_at","updated_at"
"11","ACEH","10/7/2019 11:43:54","10/7/2019 11:44:06"
"12","SUMATERA UTARA","10/7/2019 11:43:54","10/7/2019 11:44:06"
"13","SUMATERA BARAT","10/7/2019 11:43:54","10/7/2019 11:44:06"
"14","RIAU","10/7/2019 11:43:54","10/7/2019 11:44:06"
"15","JAMBI","10/7/2019 11:43:54","10/7/2019 11:44:06"
"16","SUMATERA SELATAN","10/7/2019 11:43:54","10/7/2019 11:44:06"
"17","BENGKULU","10/7/2019 11:43:54","10/7/2019 11:44:06"
"18","LAMPUNG","10/7/2019 11:43:54","10/7/2019 11:44:06"
"19","KEPULAUAN BANGKA BELITUNG","10/7/2019 11:43:54","10/7/2019 11:44:06"
"21","KEPULAUAN RIAU","10/7/2019 11:43:54","10/7/2019 11:44:06"
"31","DKI JAKARTA","10/7/2019 11:43:54","10/7/2019 11:44:06"
"32","JAWA BARAT","10/7/2019 11:43:54","10/7/2019 11:44:06"
"33","JAWA TENGAH","10/7/2019 11:43:54","10/7/2019 11:44:06"
"34","DI YOGYAKARTA","10/7/2019 11:43:54","10/7/2019 11:44:06"
"35","JAWA TIMUR","10/7/2019 11:43:54","10/7/2019 11:44:06"
"36","BANTEN","10/7/2019 11:43:54","10/7/2019 11:44:06"
"51","BALI","10/7/2019 11:43:54","10/7/2019 11:44:06"
"52","NUSA TENGGARA BARAT","10/7/2019 11:43:54","10/7/2019 11:44:06"
"53","NUSA TENGGARA TIMUR","10/7/2019 11:43:54","10/7/2019 11:44:06"
"61","KALIMANTAN BARAT","10/7/2019 11:43:54","10/7/2019 11:44:06"
"62","KALIMANTAN TENGAH","10/7/2019 11:43:54","10/7/2019 11:44:06"
"63","KALIMANTAN SELATAN","10/7/2019 11:43:54","10/7/2019 11:44:06"
"64","KALIMANTAN TIMUR","10/7/2019 11:43:54","10/7/2019 11:44:06"
"65","KALIMANTAN UTARA","10/7/2019 11:43:54","10/7/2019 11:44:06"
"71","SULAWESI UTARA","10/7/2019 11:43:54","10/7/2019 11:44:06"
"72","SULAWESI TENGAH","10/7/2019 11:43:54","10/7/2019 11:44:06"
"73","SULAWESI SELATAN","10/7/2019 11:43:54","10/7/2019 11:44:06"
"74","SULAWESI TENGGARA","10/7/2019 11:43:54","10/7/2019 11:44:06"
"75","GORONTALO","10/7/2019 11:43:54","10/7/2019 11:44:06"
"76","SULAWESI BARAT","10/7/2019 11:43:54","10/7/2019 11:44:06"
"81","MALUKU","10/7/2019 11:43:54","10/7/2019 11:44:06"
"82","MALUKU UTARA","10/7/2019 11:43:54","10/7/2019 11:44:06"
"91","PAPUA BARAT","10/7/2019 11:43:54","10/7/2019 11:44:06"
"94","PAPUA","10/7/2019 11:43:54","10/7/2019 11:44:06"
